transaction_id,transaction_amount,transaction_hour,merchant_category,distance_from_home,previous_transactions,avg_transaction_amount,device_trust_score,international_transaction,failed_attempts,account_age_days,transactions_last_24h,fraud
100037,48.81,15,Online,19.61,56,28.25,0.76,0,0,2847,2,0
100038,6.93,5,Restaurant,6.39,63,33.79,0.65,1,1,737,5,0
100039,12.24,16,Fuel,12.12,48,73.99,0.86,1,0,2378,3,0
100040,48.29,5,Restaurant,25.89,66,45.88,0.83,0,0,2318,4,0
100041,78.62,21,Restaurant,30.18,63,33.18,0.88,0,0,2972,4,0
100042,47.19,17,Electronics,7.57,91,20.94,0.54,0,0,2045,4,0
100043,36.45,9,Fuel,7.1,59,57.66,0.68,0,0,2255,3,0
100044,30.85,9,Grocery,23.98,51,51.19,0.95,0,0,796,6,0
100045,10.69,8,Restaurant,20.87,65,74.33,0.87,0,0,649,2,0
100046,21.16,21,Restaurant,12.96,66,60.29,0.89,0,1,2724,2,0
100047,26.72,14,Restaurant,9.81,52,43.94,0.74,0,1,404,5,0
100048,104.73,10,Restaurant,19.27,79,38.4,0.83,0,0,877,4,0
100049,55.11,6,Restaurant,0.59,65,20.33,0.68,0,0,1931,3,0
100050,8.28,17,Electronics,1.42,70,42.78,0.8,1,0,1289,1,0
100051,54.15,1,Fuel,15.32,30,23.91,0.6,1,0,220,3,0
100052,28.6,1,Restaurant,4.25,44,11.91,0.62,0,0,140,2,0
100053,21.99,12,Fuel,26.83,64,114.31,0.67,0,0,713,2,0
100054,70.14,10,Electronics,26.64,91,18.05,0.72,0,1,1861,4,1
100055,102.3,18,Restaurant,22.28,81,19.55,0.42,0,1,901,2,0
100056,93.52,19,Online,42.11,40,36.63,0.51,0,1,293,2,0
100057,19.01,0,Travel,2.73,88,37.64,0.77,0,0,2932,4,0
100058,30.62,16,Online,5.4,59,37.46,0.61,0,2,2211,2,0
100059,54.5,19,Grocery,5.23,50,25.4,0.73,0,1,109,1,0
100060,97.32,17,Restaurant,27.45,86,46.17,0.63,0,1,262,3,0
100061,26.28,7,Restaurant,13.26,15,69.63,0.83,0,1,705,3,0
100062,34.22,12,Restaurant,5.24,21,18.72,0.88,0,0,714,3,0
100063,14.94,3,Restaurant,2.64,91,15.15,0.63,0,1,1606,3,0
100064,13.78,18,Grocery,40.23,16,8.12,0.46,0,0,1997,1,0
100065,84.04,2,Online,21.21,47,25.08,0.47,0,1,2806,4,0
100066,137.09,5,Electronics,13.53,78,35.08,0.81,0,0,746,1,0
100067,37.91,5,Travel,60.59,68,41.61,0.91,0,1,334,4,0
100068,99.8,21,Electronics,34.1,88,22.96,0.89,0,1,2039,4,0
100069,56.01,5,Restaurant,3.53,77,80.34,0.65,0,0,2701,3,0
100070,22.63,23,Restaurant,12.77,5,56.31,0.93,0,1,1178,4,0
100071,55.99,7,Online,11.98,33,37.41,0.64,0,0,1771,2,0
100072,161.46,16,Restaurant,33.48,72,27.11,0.79,0,1,1752,2,0
100073,39.16,9,Electronics,2.91,56,15.56,0.84,0,0,312,3,0
100074,165.37,23,Restaurant,10.82,39,19.55,0.8,0,0,2670,4,0
100075,3.83,4,Online,18.22,83,19.6,0.35,1,0,1720,2,1
100076,84.75,18,Electronics,52.29,10,39.0,0.86,0,0,2536,2,0
100077,43.74,10,Travel,41.31,39,40.76,0.8,0,0,1987,4,0
100078,30.9,9,Restaurant,13.74,83,11.97,0.78,0,1,1638,2,0
100079,43.93,2,Electronics,16.8,31,44.14,0.24,0,0,2138,6,1
100080,6.76,21,Grocery,34.44,78,41.18,0.74,0,0,1808,5,0
100081,33.19,23,Grocery,24.55,89,42.45,0.74,0,0,2356,3,0
100082,55.78,9,Electronics,38.07,8,31.87,0.75,0,0,2612,1,0
100083,152.95,1,Grocery,40.73,4,24.01,0.73,0,1,968,1,0
100084,25.37,8,Restaurant,32.17,5,81.64,0.75,0,1,324,4,0
100085,19.54,4,Grocery,0.17,36,15.73,0.59,0,0,1933,3,0
100086,25.75,20,Travel,6.7,6,8.65,0.96,0,1,692,4,0
100087,92.19,16,Electronics,9.3,60,19.36,0.55,0,0,1049,2,0
100088,54.37,5,Restaurant,20.39,94,69.16,0.74,0,0,1041,6,0
100089,25.11,10,Fuel,6.6,55,36.39,0.69,0,0,898,3,0
100090,64.2,4,Restaurant,7.04,83,18.22,0.8,0,1,2669,3,0
100091,44.14,6,Restaurant,9.2,43,48.58,0.52,0,1,1392,5,0
100092,96.72,6,Online,55.95,82,36.66,0.84,0,0,1543,3,0
100093,21.5,3,Grocery,10.35,21,35.37,0.76,1,0,1391,1,0
100094,30.12,20,Grocery,2.73,60,16.12,0.91,0,1,1783,6,0
100095,28.42,9,Grocery,0.11,43,52.01,0.84,0,0,1340,3,0
100096,10.84,23,Grocery,4.86,54,20.09,0.75,1,1,73,2,0
100097,52.8,17,Electronics,50.29,81,77.61,0.73,0,1,362,6,0
100098,51.16,0,Restaurant,55.82,31,13.43,0.77,0,0,1342,1,0
100099,40.63,13,Grocery,13.55,85,40.28,0.66,0,0,2030,4,0
100100,32.75,5,Fuel,18.71,75,15.01,0.77,1,0,2365,2,0
100101,11.32,10,Fuel,28.61,61,13.44,0.26,0,0,1462,1,0
100102,27.7,13,Fuel,1.04,80,44.34,0.71,0,1,1665,3,0
100103,29.71,19,Grocery,8.44,73,18.28,0.82,0,0,2165,2,0
100104,19.65,2,Fuel,18.5,23,25.0,0.46,0,0,433,2,0
100105,34.98,15,Online,41.13,23,16.39,0.88,0,1,688,3,0
100106,58.19,15,Fuel,23.36,52,87.43,0.72,0,0,879,3,0
100107,220.87,6,Restaurant,7.76,3,22.57,0.81,0,0,1274,3,0
100108,47.33,7,Online,43.34,49,55.28,0.57,0,0,1395,3,0
100109,51.0,3,Grocery,19.66,70,20.87,0.93,0,0,2493,2,0
100110,37.83,11,Grocery,31.92,20,11.51,0.97,0,1,2000,3,0
100111,7.19,11,Grocery,8.77,79,32.0,0.84,0,0,2881,2,0
100112,39.49,9,Fuel,0.04,30,57.11,0.54,0,1,441,3,0
100113,42.7,11,Grocery,3.27,32,29.13,0.84,1,1,2213,2,0
100114,371.27,10,Grocery,47.16,70,27.27,0.73,0,1,1979,3,0
100115,34.02,10,Fuel,0.61,31,37.54,0.67,0,0,992,2,0
100116,53.06,14,Grocery,16.32,16,52.08,0.58,0,0,2098,2,0
100117,39.2,5,Fuel,9.47,29,37.37,0.74,0,1,239,3,0
100118,14.13,10,Online,10.1,22,18.62,0.65,0,0,1277,2,0
100119,113.13,1,Grocery,9.22,40,20.63,0.82,0,1,1234,2,0
100120,79.58,23,Grocery,1.26,28,47.38,0.96,0,2,1274,6,0
100121,82.43,21,Restaurant,2.35,79,18.75,0.63,0,0,1932,4,0
100122,17.84,8,Fuel,1.17,85,27.63,0.94,0,1,2715,4,0
100123,142.95,10,Fuel,1.0,8,59.03,0.69,0,0,2180,4,0
100124,11.45,15,Electronics,1.61,65,36.78,0.39,0,0,2391,2,0
100125,68.59,12,Travel,21.47,30,30.66,0.81,0,0,687,4,0
100126,290.44,12,Travel,2.18,58,14.43,0.66,0,0,1042,3,0
100127,16.59,21,Online,5.46,2,11.91,0.84,0,0,607,3,0
100128,24.3,21,Electronics,19.26,24,42.84,0.43,0,0,1455,2,0
100129,44.24,17,Grocery,2.14,49,34.53,0.6,0,0,1156,2,0
100130,25.71,20,Online,43.39,69,13.97,0.7,1,0,475,4,0
100131,10.02,0,Travel,11.68,12,63.06,0.58,0,0,922,5,0
100132,43.02,19,Grocery,59.37,5,15.01,0.75,0,0,574,3,0
100133,15.55,9,Online,3.85,98,20.36,0.91,0,0,2721,1,0
100134,61.94,18,Restaurant,0.56,14,23.42,0.46,0,0,1158,2,0
100135,17.68,16,Restaurant,16.06,76,86.87,0.82,0,1,930,3,0
100136,163.19,0,Online,7.17,27,44.77,0.84,1,1,2327,7,1
100137,19.99,0,Restaurant,15.29,66,37.42,0.62,0,0,1453,4,0
100138,30.27,16,Restaurant,11.55,49,21.38,0.78,0,0,845,4,0
100139,84.11,14,Fuel,11.0,100,20.64,0.88,1,0,1610,4,0
100140,13.36,1,Restaurant,34.29,45,17.32,0.9,0,0,2617,4,0
100141,49.64,10,Restaurant,3.83,38,108.98,0.81,0,2,1608,2,0
100142,131.16,20,Restaurant,12.46,67,17.26,0.61,0,0,1187,4,0
100143,9.52,1,Restaurant,9.68,58,15.24,0.76,0,0,911,3,0
100144,47.76,19,Grocery,20.16,100,26.41,0.64,0,0,791,4,0
100145,51.11,8,Electronics,0.93,72,105.92,0.84,0,0,340,2,0
100146,81.75,18,Online,13.57,66,35.95,0.76,0,0,838,3,0
100147,13.29,1,Travel,11.72,54,25.23,0.76,0,0,2376,4,0
100148,12.32,15,Travel,65.41,29,17.43,0.89,0,0,578,3,0
100149,64.7,19,Online,25.38,89,57.18,0.83,0,0,2483,1,0
100150,52.84,8,Grocery,3.03,4,75.1,0.59,0,0,1631,4,0
100151,50.68,19,Online,12.81,55,16.15,0.92,0,0,1606,4,0
100152,55.25,20,Restaurant,27.56,10,22.86,0.63,0,0,2820,5,0
100153,21.93,3,Travel,13.38,44,20.56,0.72,0,0,2700,3,0
100154,49.85,23,Electronics,7.94,81,22.18,0.74,0,1,2191,2,0
100155,52.66,12,Grocery,8.51,65,34.04,0.53,0,0,1761,2,0
100156,21.27,14,Electronics,8.23,3,18.97,0.93,0,0,46,4,0
100157,216.85,19,Travel,0.36,62,29.17,0.54,0,0,2667,1,0
100158,61.96,1,Travel,23.61,94,20.42,0.47,0,1,2952,1,0
100159,13.84,19,Online,16.99,5,24.82,0.8,0,0,2601,3,0
100160,73.03,17,Travel,5.63,44,36.21,0.73,0,0,2167,2,0
100161,16.82,23,Online,17.9,11,48.46,0.51,0,0,642,4,0
100162,82.14,8,Restaurant,6.65,73,38.19,0.69,0,0,1495,7,0
100163,114.75,19,Grocery,5.02,47,37.12,0.82,0,2,2332,4,0
100164,19.32,0,Electronics,24.33,14,240.65,0.62,0,0,173,4,0
100165,96.26,2,Grocery,29.81,19,39.16,0.35,0,0,350,1,0
100166,58.65,22,Fuel,17.69,13,83.17,0.6,0,1,744,2,0
100167,84.76,16,Fuel,27.6,21,40.19,0.61,0,0,1354,2,0
100168,222.99,10,Grocery,8.19,63,22.54,0.63,1,1,1046,7,0
100169,32.43,23,Restaurant,1.34,39,74.28,0.42,0,1,1802,2,0
100170,20.52,7,Fuel,16.71,66,69.21,0.58,0,0,1411,4,0
100171,18.16,20,Online,5.32,30,41.36,0.34,0,1,709,3,0
100172,19.41,11,Restaurant,27.05,23,45.65,0.48,0,0,1606,3,0
100173,37.74,10,Electronics,7.98,64,28.74,0.52,0,0,2845,3,0
100174,54.98,12,Electronics,19.99,27,54.29,0.84,0,1,2044,3,0
100175,51.88,14,Online,14.49,1,39.86,0.54,0,0,881,2,0
100176,85.15,19,Online,30.62,71,33.91,0.73,0,0,1072,2,0
100177,40.92,16,Restaurant,32.14,66,11.99,0.51,0,0,481,1,0
100178,149.63,11,Grocery,1.27,23,107.84,0.84,0,1,408,2,0
100179,31.87,18,Fuel,6.29,95,99.51,0.47,0,0,331,2,0
100180,467.85,19,Fuel,36.85,29,28.47,0.8,0,1,1467,3,0
100181,71.03,10,Grocery,9.31,14,24.5,0.93,1,0,2202,3,0
100182,18.7,9,Grocery,13.02,60,30.27,0.72,0,0,2089,3,0
100183,15.43,16,Restaurant,3.65,43,32.31,0.75,0,0,1843,3,0
100184,62.44,21,Electronics,14.48,5,58.01,0.88,0,0,1055,3,0
100185,33.08,12,Electronics,5.53,75,7.72,0.45,0,1,381,2,0
100186,76.91,15,Grocery,31.81,33,40.37,0.72,0,1,433,2,0
100187,61.92,19,Fuel,4.02,93,11.93,0.82,0,0,1003,3,0
100188,37.88,19,Online,8.03,70,13.14,0.64,0,0,2841,2,0
100189,18.88,16,Grocery,1.8,7,45.98,0.97,0,0,1963,1,0
100190,10.35,4,Fuel,15.96,45,33.18,0.69,0,0,2809,4,0
100191,27.06,8,Online,51.24,10,46.79,0.78,0,1,1255,2,0
100192,87.42,21,Electronics,3.42,84,15.37,0.82,0,1,1134,2,0
100193,49.04,23,Fuel,0.36,73,11.38,0.71,0,0,1826,1,0
100194,13.18,3,Restaurant,9.88,17,42.95,0.81,0,0,1574,4,0
100195,47.27,8,Fuel,24.84,100,11.61,0.59,0,0,2076,4,0
100196,57.21,15,Restaurant,66.47,6,10.3,0.75,1,0,641,2,1
100197,18.26,6,Restaurant,0.95,55,31.21,0.75,0,0,2435,4,0
100198,46.45,13,Electronics,27.75,1,11.91,0.48,0,0,874,2,0
100199,42.62,13,Travel,8.28,11,23.46,0.92,0,0,622,3,0
100200,14.46,6,Restaurant,3.0,17,22.9,0.62,0,0,2701,2,0
100201,55.81,23,Fuel,3.84,57,37.58,0.74,0,0,2436,4,0
100202,67.0,15,Restaurant,46.36,39,39.23,0.76,1,1,2340,2,0
100203,107.21,17,Grocery,29.83,73,107.73,0.54,0,0,2310,3,0
100204,104.42,5,Grocery,6.72,16,14.44,0.5,0,0,2175,6,0
100205,11.71,6,Fuel,50.7,53,8.59,0.9,1,0,2252,2,0
100206,17.39,18,Travel,2.0,91,7.48,0.71,0,0,2248,5,0
100207,64.3,7,Electronics,7.01,5,42.3,0.63,0,1,2539,2,0
100208,64.23,0,Online,19.05,8,47.92,0.69,0,0,154,2,0
100209,64.3,16,Fuel,134.12,73,45.82,0.96,0,0,1076,2,0
100210,1296.55,18,Online,11.28,58,74.31,0.55,0,0,275,2,0
100211,67.61,21,Grocery,29.96,13,15.69,0.94,0,0,1467,4,0
100212,112.39,6,Travel,44.56,3,23.89,0.76,0,0,2299,2,0
100213,95.45,17,Online,0.17,27,15.67,0.81,0,0,1197,2,0
100214,72.69,5,Fuel,6.14,50,5.67,0.65,0,0,989,3,0
100215,30.46,20,Fuel,1.9,54,40.99,0.42,0,0,248,2,0
100216,80.08,5,Restaurant,26.93,56,49.23,0.79,0,0,1588,1,0
100217,20.18,0,Online,15.07,20,20.62,0.35,0,0,2841,7,0
100218,32.68,9,Grocery,1.81,97,21.97,0.83,0,1,845,2,0
100219,26.13,22,Electronics,9.83,13,29.05,0.84,0,0,1894,4,0
100220,43.54,7,Travel,12.99,88,39.78,0.89,0,2,1751,3,0
100221,324.79,6,Fuel,21.54,50,28.02,0.84,1,0,2472,3,1
100222,7.53,8,Grocery,27.21,88,24.12,0.69,0,0,1234,3,0
100223,75.01,0,Electronics,1.66,84,68.28,0.73,0,2,298,1,0
100224,9.47,10,Fuel,12.04,27,36.77,0.69,0,1,934,2,0
100225,26.45,2,Electronics,3.16,18,67.75,0.88,0,1,1636,3,0
100226,107.78,17,Electronics,25.19,28,52.61,0.97,0,1,1034,5,0
100227,42.86,5,Online,19.3,100,15.28,0.45,0,0,881,3,0
100228,15.33,10,Online,23.11,97,91.85,0.66,0,0,1088,2,0
100229,21.25,4,Restaurant,1.4,58,23.14,0.89,0,1,696,3,0
100230,74.56,19,Fuel,12.85,32,36.25,0.59,0,1,1644,2,0
100231,20.96,3,Grocery,33.05,7,44.82,0.78,0,1,1132,3,0
100232,49.15,7,Fuel,22.49,15,20.38,0.96,0,0,624,2,0
100233,42.14,9,Online,35.62,78,32.97,0.88,0,0,1884,4,0
100234,22.5,2,Travel,4.15,35,65.12,0.41,0,1,311,2,0
100235,278.54,12,Online,6.09,52,49.52,0.48,0,1,1474,2,0
100236,71.56,16,Grocery,10.48,40,19.68,0.77,1,1,1387,1,0
100237,6.54,4,Grocery,13.33,95,17.66,0.73,1,0,125,2,0
100238,47.84,7,Fuel,5.23,50,28.2,0.75,0,0,732,3,0
100239,22.3,18,Grocery,8.64,95,44.17,0.53,0,0,586,3,0
100240,87.11,17,Grocery,20.91,90,44.17,0.85,0,0,2786,5,0
100241,19.82,0,Travel,18.66,89,48.38,0.89,0,0,1307,2,0
100242,36.48,3,Grocery,2.11,70,41.03,0.83,0,0,1840,4,0
100243,63.72,17,Fuel,76.46,27,9.63,0.81,0,1,1199,3,0
100244,88.16,13,Fuel,14.89,32,21.57,0.46,0,1,2964,4,0
100245,13.73,23,Restaurant,11.89,12,21.06,0.87,0,1,1030,3,0
100246,29.93,10,Travel,61.54,60,93.55,0.6,0,1,1120,3,0
100247,26.38,8,Restaurant,2.72,30,101.15,0.55,0,0,2901,2,0
100248,22.47,12,Electronics,14.12,24,25.17,0.74,0,0,2584,2,0
100249,198.13,16,Electronics,29.43,88,76.41,0.76,0,0,2379,2,0
100250,58.23,14,Grocery,9.16,86,29.3,0.69,0,0,2629,3,0
100251,13.0,1,Travel,23.99,4,38.58,0.96,0,0,1304,3,0
100252,92.4,5,Restaurant,41.3,83,35.52,0.57,0,0,1633,2,0
100253,273.13,6,Fuel,5.46,89,125.95,0.89,0,1,1849,5,0
100254,102.43,1,Online,4.97,5,46.0,0.9,0,1,2394,3,0
100255,10.3,23,Online,8.05,4,26.11,0.77,0,1,2475,2,0
100256,26.16,12,Electronics,9.76,93,151.15,0.59,0,1,1733,4,0
100257,126.5,9,Fuel,2.12,9,31.45,0.75,0,1,514,3,0
100258,21.39,15,Fuel,4.73,51,41.82,0.88,0,0,2522,2,0
100259,60.31,8,Fuel,37.18,40,25.3,0.74,1,2,2885,2,0
100260,81.22,7,Grocery,15.05,53,21.24,0.95,0,0,740,1,0
100261,17.56,14,Restaurant,5.61,98,33.76,0.94,0,1,2632,3,0
100262,38.34,21,Restaurant,51.75,72,34.82,0.75,0,1,135,2,0
100263,2.19,6,Electronics,26.79,75,41.08,0.78,0,0,1339,1,0
100264,16.09,21,Fuel,8.1,98,3.65,0.83,0,0,2439,3,0
100265,32.22,22,Electronics,26.1,96,25.67,0.77,0,1,1497,3,0
100266,13.16,18,Grocery,16.32,32,30.43,0.7,0,0,31,3,0
100267,175.77,3,Restaurant,20.73,49,36.92,0.51,0,1,414,3,0
100268,11.17,8,Electronics,6.98,5,52.91,0.83,0,1,2328,2,0
100269,27.22,18,Fuel,4.23,32,7.83,0.7,0,1,790,2,0
100270,45.5,1,Travel,5.26,5,28.32,0.46,0,1,2770,2,0
100271,147.99,6,Travel,1.57,96,40.73,0.72,0,0,2817,5,0
100272,11.11,21,Restaurant,11.46,65,121.61,0.59,0,0,1004,1,0
100273,115.22,18,Grocery,9.38,70,37.48,0.34,0,0,2502,3,0
100274,40.82,5,Online,0.05,25,70.72,0.52,0,1,1548,2,0
100275,16.72,14,Online,34.93,27,13.2,0.9,0,0,1291,3,0
100276,61.31,6,Restaurant,20.62,78,35.39,0.54,0,0,2310,1,0
100277,48.38,5,Fuel,10.65,73,45.94,0.58,0,0,480,2,0
100278,23.57,0,Restaurant,61.41,28,20.18,0.85,0,0,616,2,0
100279,43.07,13,Online,50.8,88,56.88,0.68,0,0,851,2,0
100280,28.59,0,Fuel,1.8,63,15.61,0.73,0,0,914,2,0
100281,44.8,5,Online,17.19,73,12.27,0.73,0,1,2161,2,0
100282,73.4,17,Travel,30.57,36,45.81,0.68,0,1,1495,3,0
100283,168.58,16,Grocery,3.42,56,90.58,0.73,0,0,786,3,0
100284,13.28,1,Online,2.46,34,58.95,0.72,0,0,2603,2,0
100285,275.81,7,Fuel,5.41,67,34.03,0.81,0,2,527,1,1
100286,6.98,20,Restaurant,5.9,21,26.47,0.65,0,0,958,3,0
100287,35.28,22,Electronics,60.34,39,25.7,0.65,0,0,46,4,0
100288,68.68,22,Restaurant,27.29,37,39.59,0.95,0,0,686,2,0
100289,52.09,1,Online,1.11,42,12.07,0.52,0,0,2770,1,0
100290,23.09,15,Grocery,27.79,36,19.42,0.7,0,0,2568,5,0
100291,33.54,3,Fuel,3.35,66,76.16,0.79,0,1,870,4,0
100292,25.95,1,Fuel,7.96,17,51.39,0.79,0,0,980,1,0
100293,23.8,22,Restaurant,6.9,54,33.06,0.55,0,0,1942,3,0
100294,86.89,4,Grocery,5.72,29,47.11,0.55,0,0,2399,3,0
100295,55.77,16,Online,6.65,25,37.63,0.8,0,2,667,4,0
100296,21.68,1,Grocery,25.26,21,106.9,0.89,0,0,416,2,0
100297,90.89,21,Restaurant,5.58,19,15.45,0.65,0,0,1967,3,0
100298,53.33,13,Grocery,29.04,29,22.99,0.91,0,0,1660,3,0
100299,84.06,19,Restaurant,1.72,3,37.81,0.77,0,0,1832,4,0
100300,71.28,6,Electronics,16.28,76,60.96,0.66,0,0,2170,3,0
100301,19.18,14,Online,35.78,55,76.25,0.5,0,0,919,2,0
100302,24.43,17,Online,1.49,51,90.21,0.58,1,1,2727,5,0
100303,79.25,12,Fuel,18.14,90,20.27,0.85,0,1,1652,2,0
100304,70.06,11,Electronics,12.9,39,15.99,0.76,0,0,1510,3,0
100305,39.69,1,Grocery,7.26,31,29.54,0.71,0,0,2120,2,0
100306,44.95,11,Travel,1.91,72,71.71,0.71,0,1,1242,6,0
100307,127.73,5,Grocery,20.31,35,32.31,0.97,0,1,1412,2,0
100308,23.75,23,Grocery,6.66,69,27.45,0.59,0,1,2330,3,0
100309,66.18,0,Restaurant,7.45,27,46.49,0.61,1,0,2924,3,0
100310,33.72,20,Restaurant,22.76,26,25.78,0.78,1,0,1841,2,0
100311,33.25,0,Grocery,52.32,27,38.07,0.65,0,1,2501,2,0
100312,108.73,14,Travel,7.31,13,33.23,0.87,0,0,2671,1,0
100313,85.02,15,Restaurant,24.72,23,34.31,0.62,0,0,2131,4,0
100314,84.11,21,Electronics,56.48,65,24.06,0.68,0,0,1423,3,0
100315,130.97,6,Fuel,1.85,92,31.66,0.43,0,0,611,1,0
100316,41.22,21,Grocery,13.56,79,30.17,0.75,0,1,933,4,0
100317,74.72,13,Electronics,0.2,77,20.23,0.71,0,1,2736,3,0
100318,30.59,18,Grocery,31.39,69,17.96,0.72,1,0,1002,2,0
100319,54.15,23,Grocery,6.09,90,12.93,0.76,0,2,438,3,0
100320,35.98,18,Fuel,7.28,71,57.49,0.75,0,1,2892,5,0
100321,44.14,22,Electronics,20.92,99,69.04,0.79,0,0,653,2,0
100322,69.11,12,Online,28.02,22,49.66,0.67,0,0,1637,1,0
100323,19.37,20,Travel,9.19,73,43.6,0.65,0,0,1001,3,0
100324,265.91,11,Restaurant,19.71,1,198.45,0.57,0,1,1516,3,1
100325,16.36,0,Fuel,56.37,15,24.88,0.9,0,1,1636,2,0
100326,13.56,11,Fuel,39.23,53,31.56,0.75,0,0,271,5,0
100327,114.7,3,Grocery,21.75,94,33.55,0.5,0,0,1554,7,0
100328,82.48,14,Fuel,51.58,67,34.03,0.53,0,1,2172,3,0
100329,70.93,15,Travel,37.57,70,9.73,0.47,0,1,796,4,0
100330,71.2,14,Electronics,23.5,95,60.98,0.37,0,0,2807,5,0
100331,40.0,7,Online,44.85,5,24.66,0.61,0,1,513,3,0
100332,18.04,18,Fuel,30.61,68,23.5,0.55,0,0,2880,3,0
100333,43.3,14,Grocery,12.56,56,41.7,0.78,0,0,879,3,0
100334,21.99,17,Online,12.56,25,26.99,0.47,0,0,1636,4,0
100335,97.28,10,Grocery,0.16,75,28.55,0.85,0,0,1014,1,0
100336,35.43,8,Travel,0.55,62,17.29,0.8,1,0,1437,5,0
100337,19.24,0,Fuel,24.68,43,15.0,0.73,0,1,718,4,0
100338,30.29,8,Restaurant,14.56,14,50.68,0.58,0,1,1361,1,0
100339,58.65,22,Grocery,25.76,89,41.21,0.8,0,0,421,2,0
100340,24.35,11,Restaurant,53.8,52,98.25,0.63,0,0,1737,2,0
100341,19.3,1,Online,10.84,27,11.84,0.62,0,0,1399,2,0
100342,50.37,10,Restaurant,1.67,93,30.83,0.97,0,1,1331,4,0
100343,50.42,20,Grocery,17.73,52,26.81,0.78,0,0,1894,2,0
100344,25.63,13,Travel,1.89,1,24.73,0.79,0,0,2683,2,0
100345,26.47,1,Fuel,17.48,46,47.09,0.68,0,0,184,4,0
100346,49.84,14,Restaurant,13.5,5,33.25,0.93,0,0,87,6,0
100347,10.99,20,Online,22.42,62,56.47,0.88,0,0,1430,2,0
100348,11.4,22,Online,7.78,56,15.74,0.62,0,0,1184,3,0
100349,21.19,20,Grocery,2.8,64,26.49,0.71,0,0,2825,3,0
100350,33.38,17,Restaurant,4.85,21,15.12,0.52,0,1,2696,2,0
100351,53.51,13,Travel,20.72,98,18.59,0.79,0,1,283,3,0
100352,152.6,20,Grocery,11.71,66,14.37,0.81,0,0,594,4,0
100353,87.52,11,Grocery,14.01,45,56.43,0.93,0,0,237,1,0
100354,35.02,9,Online,7.02,60,26.04,0.78,0,0,376,3,0
100355,39.76,13,Grocery,32.62,18,36.82,0.72,1,2,316,2,0
100356,16.41,21,Electronics,135.27,15,8.41,0.47,0,0,1868,3,0
100357,39.78,14,Electronics,6.74,46,50.46,0.63,0,0,2025,3,0
100358,31.19,4,Grocery,22.83,33,31.92,0.81,0,2,1629,3,0
100359,54.08,1,Restaurant,3.38,11,36.13,0.67,0,0,1291,3,0
